

Dry run — measuring what the backfill would write. Nothing is modified.

Coverage by framework (frameworks with any graded mapping):
  framework                                     total   graded   ambig  nullop   unres   equal  subset  superset
  general-aicpa-tsc-2017 Trust Services Cri      1478     1478       0       0       0      29      90         0
  usa-federal-cms-marse-2-0 MARS-E Document      1460     1460       0       0       0       0    1179         0
  general-pci-dss-4-0-1 Payment Card Indust      1218     1218       0       0       0       0     115         0
  general-nist-800-53-r5-2 NIST SP 800-53 R      1117     1117       0       0       0     482      28         0
  general-nist-800-82-r3 NIST SP 800-82 R3       1117     1117       0       0       0     482      28         0
  general-nist-800-171-r3 NIST SP 800-171 R      1012     1012       0       0       0      38     164         0
  americas-can-itsp-10-171-2025 Canada - IT      1008     1008       0       0       0      36     163         0
  usa-federal-irs-1075-2021 IRS 1075 (2021)       943      943       0       0       0       0     488         0
  general-pci-dss-4-0-1-saq-d-service-provi       929      929       0       0       0       0      68         0
  usa-state-ca-ccpa-cpra-2026 California Co       871      871       0       0       0       5     436         0
  general-pci-dss-4-0-1-saq-d-merchant Paym       846      846       0       0       0       0      60         0
  usa-federal-dow-cert-rmm-1-2 CERT-RMM (v1       843      843       0       0       0       0     443         0
  usa-federal-gsa-fedramp-5-high FedRAMP R5       791      791       0       0       0     247      27         0
  usa-federal-gsa-fedramp-5-mod FedRAMP R5        711      711       0       0       0     181      27         0
  general-nist-800-171a-r3 NIST SP 800-171A       633      633       0       0       0       0      65         0
  general-nist-csf-2-0 NIST Cybersecurity F       611      611       0       0       0      11      61         1
  general-nist-800-82-r3-high NIST SP 800-8       606      606       0       0       0     238      24         0
  general-iso-42001-2023 ISO 42001 (2023)         579      579       0       0       0       0      52         0
  usa-federal-gsa-fedramp-5-li-saas FedRAMP       570      570       0       0       0      68      27         0
  usa-federal-gsa-fedramp-5-low FedRAMP R5        570      570       0       0       0      68      27         0
  usa-federal-doe-c2m2-2-1 Cybersecurity Ca       565      565       0       0       0       2     238         0
  general-govramp GovRAMP                         548      548       0       0       0     236      23         0
  general-govramp-high GovRAMP High               548      548       0       0       0     236      23         0
  general-nist-800-53-r5-2-privacy NIST SP        537      537       0       0       0      41      28         0
  general-iso-27018-2025 ISO 27018 (2025)         522      522       0       0       0       0      53         0
  general-nist-800-82-r3-mod NIST SP 800-82       518      518       0       0       0     178      24         0
  emea-eu-nis2-annex-2024 EU NIS2 Annex (20       517      517       0       0       0       3     187         0
  general-pci-dss-4-0-1-saq-a-ep Payment Ca       516      516       0       0       0       0      33         0
  usa-federal-fbi-cjis-6-0 Criminal Justice       507      507       0       0       0     156      46         0
  general-iso-27002-2022 ISO 27002 (2022)         506      505       0       0       0      17      54         0
  general-csa-cmm-4-1-0 Cloud Controls Matr       498      498       0       0       0       5     117         0
  general-nist-800-161-r1 NIST SP 800-161 R       479      479       0       0       0     148      28         0
  general-cobit-2019 Control Objectives for       472      472       0       0       0       0     118         0
  general-csa-iot-2 IoT Security Controls F       459      459       0       0       0       2      68         0
  general-pci-dss-4-0-1-saq-c Payment Card        444      444       0       0       0       0      34         0
  emea-eu-dora-2023 EU Digital Operational        442      442       0       0       0       1      85         0
  general-govramp-mod GovRAMP Moderate            441      441       0       0       0     164      23         0
  general-nist-600-1-gen-ai-profile NIST AI       403      403       0       0       0       3      34         0
  general-nist-800-171a NIST SP 800-171A          399      399       0       0       0       0      37         0
  general-nist-800-161-r1-level-3 NIST SP 8       386      386       0       0       0     125      23         0
  general-nist-800-161-r1-level-2 NIST SP 8       384      384       0       0       0     106      28         0
  general-cis-csc-8-1 Critical Security Con       429      374       0       0       0      50      29         0
  general-cis-csc-8-1-ig3 Critical Security       385      374       0       0       0      50      29         0
  usa-state-tx-dir-security-control-standar       373      373       0       0       0      73      38         0
  usa-state-tx-txramp-2-0-level-2 TX-RAMP 2       366      366       0       0       0     118      23         0
