record_type,id,version_label,release_date,is_synthetic,scf_version_id,domain_code,domain_name,description,sort_order,control_code,control_title,control_description,framework_code,framework_name,framework_version,publisher,category,requirement_code,requirement_title,requirement_text,scf_domain_id,scf_framework_id,scf_framework_requirement_id,scf_control_id,relationship_type,mapping_source,is_official
"version","","SCF 2024.4","2024-12-15","false","","","","","","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","GOV","Security, Compliance & Resilience Governance","SCF domain covering security, compliance & resilience governance.","1","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","AAT","Artificial Intelligence & Autonomous Technology","SCF domain covering artificial intelligence & autonomous technology.","2","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","AST","Asset Management","SCF domain covering asset management.","3","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","BCD","Business Continuity & Disaster Recovery","SCF domain covering business continuity & disaster recovery.","4","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CAP","Capacity & Performance Planning","SCF domain covering capacity & performance planning.","5","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CHG","Change Management","SCF domain covering change management.","6","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CLD","Cloud Security","SCF domain covering cloud security.","7","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CPL","Compliance","SCF domain covering compliance.","8","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CFG","Configuration Management","SCF domain covering configuration management.","9","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","MON","Continuous Monitoring","SCF domain covering continuous monitoring.","10","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","CRY","Cryptographic Protections","SCF domain covering cryptographic protections.","11","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","DCH","Data Classification & Handling","SCF domain covering data classification & handling.","12","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","EMB","Embedded Technology","SCF domain covering embedded technology.","13","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","END","Endpoint Security","SCF domain covering endpoint security.","14","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","HRS","Human Resources Security","SCF domain covering human resources security.","15","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","IAC","Identification & Authentication","SCF domain covering identification & authentication.","16","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","IRO","Incident Response","SCF domain covering incident response.","17","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","IAO","Information Assurance","SCF domain covering information assurance.","18","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","MNT","Maintenance","SCF domain covering maintenance.","19","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","MDM","Mobile Device Management","SCF domain covering mobile device management.","20","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","NET","Network Security","SCF domain covering network security.","21","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","PES","Physical & Environmental Security","SCF domain covering physical & environmental security.","22","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","PRI","Data Privacy","SCF domain covering data privacy.","23","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","PRM","Project & Resource Management","SCF domain covering project & resource management.","24","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","RSK","Risk Management","SCF domain covering risk management.","25","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","SEA","Secure Engineering & Architecture","SCF domain covering secure engineering & architecture.","26","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","OPS","Security Operations","SCF domain covering security operations.","27","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","SAT","Security Awareness & Training","SCF domain covering security awareness & training.","28","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","TDA","Technology Development & Acquisition","SCF domain covering technology development & acquisition.","29","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","TPM","Third-Party Management","SCF domain covering third-party management.","30","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","THR","Threat Management","SCF domain covering threat management.","31","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","VPM","Vulnerability & Patch Management","SCF domain covering vulnerability & patch management.","32","","","","","","","","","","","","","","","","","",""
"domain","","","","false","","WEB","Web Security","SCF domain covering web security.","33","","","","","","","","","","","","","","","","","",""
"control","","","","false","","GOV","","","","GOV-01","Cybersecurity & Data Privacy Governance Program","Establish and maintain a cybersecurity and data privacy governance program.","","","","","","","","","","","","","","",""
"control","","","","false","","GOV","","","","GOV-02","Publishing Cybersecurity & Data Privacy Documentation","Publish and make available cybersecurity and data privacy policies, standards and procedures.","","","","","","","","","","","","","","",""
"control","","","","false","","GOV","","","","GOV-03","Periodic Review & Update of Cybersecurity & Data Privacy Program","Review and update the cybersecurity and data privacy program on a defined frequency.","","","","","","","","","","","","","","",""
"control","","","","false","","GOV","","","","GOV-04","Assigned Cybersecurity & Data Privacy Responsibilities","Assign a qualified individual to lead and be accountable for the cybersecurity program.","","","","","","","","","","","","","","",""
"control","","","","false","","GOV","","","","GOV-05","Measures of Performance","Establish measures of performance to evaluate the effectiveness of the cybersecurity program.","","","","","","","","","","","","","","",""
"control","","","","false","","AAT","","","","AAT-01","AI & Autonomous Technology Governance","Implement governance for AI and autonomous technologies.","","","","","","","","","","","","","","",""
"control","","","","false","","AAT","","","","AAT-02","AI Risk Assessment","Assess risks associated with AI and autonomous technology deployments.","","","","","","","","","","","","","","",""
"control","","","","false","","AAT","","","","AAT-03","AI Transparency & Explainability","Ensure AI systems are transparent and provide explainable outputs.","","","","","","","","","","","","","","",""
"control","","","","false","","AST","","","","AST-01","Asset Governance","Establish asset management governance including inventories and ownership.","","","","","","","","","","","","","","",""
"control","","","","false","","AST","","","","AST-02","Asset Inventories","Maintain detailed inventories of all technology assets.","","","","","","","","","","","","","","",""
"control","","","","false","","AST","","","","AST-03","Asset Categorization","Categorize assets based on criticality and sensitivity.","","","","","","","","","","","","","","",""
"control","","","","false","","BCD","","","","BCD-01","Business Continuity Management","Develop and maintain a business continuity management capability.","","","","","","","","","","","","","","",""
"control","","","","false","","BCD","","","","BCD-02","Business Impact Analysis","Conduct business impact analyses to identify critical processes.","","","","","","","","","","","","","","",""
"control","","","","false","","BCD","","","","BCD-03","Disaster Recovery Planning","Develop and maintain disaster recovery plans for critical systems.","","","","","","","","","","","","","","",""
"control","","","","false","","CAP","","","","CAP-01","Capacity & Performance Management","Govern current and future capacities and performance of technology assets.","","","","","","","","","","","","","","",""
"control","","","","false","","CHG","","","","CHG-01","Change Management Program","Establish and maintain a change management program for technology changes.","","","","","","","","","","","","","","",""
"control","","","","false","","CHG","","","","CHG-02","Change Approval Authority","Define change approval authorities based on risk and impact.","","","","","","","","","","","","","","",""
"control","","","","false","","CHG","","","","CHG-03","Configuration Change Control","Control and document configuration changes to information systems.","","","","","","","","","","","","","","",""
"control","","","","false","","CLD","","","","CLD-01","Cloud Security Governance","Govern cloud instances as an extension of on-premise technologies.","","","","","","","","","","","","","","",""
"control","","","","false","","CLD","","","","CLD-02","Cloud Security Architecture","Implement cloud security architecture aligned with security requirements.","","","","","","","","","","","","","","",""
"control","","","","false","","CLD","","","","CLD-03","Cloud Data Protection","Protect data in cloud environments through appropriate controls.","","","","","","","","","","","","","","",""
"control","","","","false","","CPL","","","","CPL-01","Statutory, Regulatory & Contractual Compliance","Identify and comply with applicable statutory, regulatory and contractual requirements.","","","","","","","","","","","","","","",""
